Ponto,Projeto,Equipe,Data/hora,Espécie,Poste,Área,Altura (m),DAP (cm),Acesso,Dist. BT (cm),Dist. MT (cm),Dist. AT (cm),Latitude,Longitude,Qtd fotos,Foto (link),Sincronizado
V20260709084436428814422,Porto Nacional,Enecol Centro,"09/07/2026, 08:44:35",Outros,526087,URBANO,5,40,Sim,300,300,0,-10.6931819,-48.3907982,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260709084436428814422F1.jpg,Não
V20260709084957846701598,Porto Nacional,Enecol Centro,"09/07/2026, 08:49:56",Outros,473599,URBANO,6.5,25,Sim,300,300,0,-10.6911598,-48.3910387,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260709084957846701598F1.jpg,Não
V20260709085106858337710,Porto Nacional,Enecol Centro,"09/07/2026, 08:51:05",Outros,474654,URBANO,7,20,Sim,,300,0,-10.6910218,-48.3908165,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260709085106858337710F1.jpg,Não
V20260709085208796426926,Porto Nacional,Enecol Centro,"09/07/2026, 08:52:07",Outros,474654,URBANO,5,20,Sim,,300,0,-10.6908999,-48.3908087,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260709085208796426926F1.jpg,Não
V20260709085304067596654,Porto Nacional,Enecol Centro,"09/07/2026, 08:53:02",Outros,161984,URBANO,9,25,Sim,,150,0,-10.6911414,-48.3906679,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260709085304067596654F1.jpg,Não
V20260709085417576405850,Porto Nacional,Enecol Centro,"09/07/2026, 08:54:16",Outros,161984,URBANO,9,25,Sim,,150,0,-10.6910291,-48.3905354,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260709085417576405850F1.jpg,Não
V20260709085605133255966,Porto Nacional,Enecol Centro,"09/07/2026, 08:56:04",Outros,338956,URBANO,8,80,Sim,,300,0,-10.6909662,-48.3902046,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260709085605133255966F1.jpg,Não
V20260709085825074798958,Porto Nacional,Enecol Centro,"09/07/2026, 08:58:23",Mangueira,45812700,URBANO,12,120,Sim,,50,0,-10.6905853,-48.390225,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260709085825074798958F1.jpg,Não
V20260709090032365738741,Porto Nacional,Enecol Centro,"09/07/2026, 09:00:31",Mangueira,473183,URBANO,8,110,,,300,0,-10.6906914,-48.3899412,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260709090032365738741F1.jpg,Não
V20260709090144329101732,Porto Nacional,Enecol Centro,"09/07/2026, 09:01:43",Outros,475867,URBANO,7,95,Sim,,150,0,-10.6906644,-48.389817,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260709090144329101732F1.jpg,Não
