Ponto,Projeto,Equipe,Data/hora,Espécie,Poste,Área,Altura (m),DAP (cm),Acesso,Dist. BT (cm),Dist. MT (cm),Dist. AT (cm),Latitude,Longitude,Qtd fotos,Foto (link),Sincronizado
V20260923152533329594736,Rota Araguatins,Enecol Centro,"23/09/2026, 15:25:32",Outros,1081253,URBANO,7,75,Sim,,250,0,-5.656995,-48.1205567,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260923152533329594736F1.jpg,Não
V20260923152711752155951,Rota Araguatins,Enecol Centro,"23/09/2026, 15:27:10",Mangueira,1715230,URBANO,5.5,110,Sim,200,300,0,-5.6571,-48.1202717,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260923152711752155951F1.jpg,Não
V20260923152922959495945,Rota Araguatins,Enecol Centro,"23/09/2026, 15:29:22",Cajueiro,1715230,URBANO,9,200,Sim,200,300,0,-5.6571717,-48.1202033,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260923152922959495945F1.jpg,Não
V20260923153107133918657,Rota Araguatins,Enecol Centro,"23/09/2026, 15:31:06",Outros,1715084,URBANO,9.5,145,Sim,0,0,0,-5.6577467,-48.1187633,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260923153107133918657F1.jpg,Não
V20260923153843454664640,Rota Araguatins,Enecol Centro,"23/09/2026, 15:38:42",Outros,1087844,URBANO,5,70,Sim,,300,0,-5.65804,-48.118075,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260923153843454664640F1.jpg,Não
V20260923154030560537395,Rota Araguatins,Enecol Centro,"23/09/2026, 15:40:29",Outros,1087841,URBANO,6,95,Sim,,300,0,-5.6584267,-48.11718,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260923154030560537395F1.jpg,Não
V20260923154211932151908,Rota Araguatins,Enecol Centro,"23/09/2026, 15:42:10",Cajueiro,1087838,URBANO,,70,Sim,,300,0,-5.6587483,-48.1163033,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260923154211932151908F1.jpg,Não
V20260923154825000858587,Rota Araguatins,Enecol Centro,"23/09/2026, 15:48:24",Mangueira,1087833,URBANO,12,200,Sim,,150,0,-5.65794,-48.1157917,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260923154825000858587F1.jpg,Não
V20260923155042723309150,Rota Araguatins,Enecol Centro,"23/09/2026, 15:50:41",Mangueira,1087828,URBANO,7,115,Sim,,300,0,-5.65702,-48.11542,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260923155042723309150F1.jpg,Não
V20260923155314638183393,Rota Araguatins,Enecol Centro,"23/09/2026, 15:53:13",Outros,655377,URBANO,3.5,40,Sim,300,300,0,-5.6573983,-48.1151217,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260923155314638183393F1.jpg,Não
