Ponto,Projeto,Equipe,Data/hora,Espécie,Poste,Área,Altura (m),DAP (cm),Acesso,Dist. BT (cm),Dist. MT (cm),Dist. AT (cm),Latitude,Longitude,Qtd fotos,Foto (link),Sincronizado
V20260902075956764593127,Rota Itacajá,Enecol Centro,"01/09/2026, 13:42:28",Outros,1250356,URBANO,12,70,Sim,300,50,0,-8.3974368,-47.7727783,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260902075956764593127F1.jpg,Sim
V20260902080031168354178,Rota Itacajá,Enecol Centro,"01/09/2026, 13:45:46",Oiti,844331,URBANO,8,60,Sim,50,300,0,-8.396865,-47.77247,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260902080031168354178F1.jpg,Sim
V20260902080105019809861,Rota Itacajá,Enecol Centro,"01/09/2026, 13:47:07",Oiti,844330,URBANO,5,55,Sim,50,300,0,-8.3964467,-47.772305,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260902080105019809861F1.jpg,Sim
V20260902083904092675394,Rota Itacajá,Enecol Centro,"01/09/2026, 13:57:02",Oiti,844326,URBANO,7,65,Sim,200,300,0,-8.3954267,-47.7717983,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260902083904092675394F1.jpg,Sim
V20260902083935456450064,Rota Itacajá,Enecol Centro,"01/09/2026, 13:57:53",Oiti,844326,URBANO,5.5,70,Sim,300,300,0,-8.3955583,-47.7718267,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260902083935456450064F1.jpg,Não
V20260902084005921654151,Rota Itacajá,Enecol Centro,"01/09/2026, 13:58:40",Oiti,844326,URBANO,5.5,55,Sim,300,300,0,-8.3955917,-47.7718583,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260902084005921654151F1.jpg,Não
V20260902084100619328587,Rota Itacajá,Enecol Centro,"01/09/2026, 14:01:55",Oiti,844327,URBANO,5,60,Sim,300,300,0,-8.3951404,-47.7716597,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260902084100619328587F1.jpg,Não
V20260902084108141166779,Rota Itacajá,Enecol Centro,"01/09/2026, 14:02:40",Oiti,844327,URBANO,5.5,55,Sim,300,300,0,-8.3950792,-47.7716154,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260902084108141166779F1.jpg,Não
V20260902084118381510639,Rota Itacajá,Enecol Centro,"01/09/2026, 14:03:24",Oiti,844327,URBANO,4.5,70,Sim,300,300,0,-8.3950664,-47.7715844,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260902084118381510639F1.jpg,Sim
V20260902084125656603368,Rota Itacajá,Enecol Centro,"01/09/2026, 14:04:22",Oiti,844328,URBANO,6.5,70,Sim,200,300,0,-8.3949317,-47.7715601,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260902084125656603368F1.jpg,Sim
V20260902084132511711009,Rota Itacajá,Enecol Centro,"01/09/2026, 14:05:09",Oiti,844328,URBANO,3.5,50,Sim,300,300,0,-8.3948457,-47.7714959,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260902084132511711009F1.jpg,Sim
V20260902084144601386202,Rota Itacajá,Enecol Centro,"01/09/2026, 14:05:59",Oiti,844328,URBANO,3.5,50,Sim,300,300,0,-8.3947845,-47.7714439,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260902084144601386202F1.jpg,Sim
V20260902084154133688675,Rota Itacajá,Enecol Centro,"01/09/2026, 14:06:52",Oiti,844328,URBANO,5,65,Sim,300,300,0,-8.3947659,-47.7714465,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260902084154133688675F1.jpg,Sim
V20260902084202306044823,Rota Itacajá,Enecol Centro,"01/09/2026, 14:07:46",Mogno,137665,URBANO,3.5,60,Sim,300,300,0,-8.3946617,-47.771415,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260902084202306044823F1.jpg,Sim
V20260902084209230732470,Rota Itacajá,Enecol Centro,"01/09/2026, 14:09:52",Outros,28675524,URBANO,3,50,Sim,300,300,0,-8.394175,-47.7711967,4,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260902084209230732470F1.jpg,Sim
V20260902084320960404486,Rota Itacajá,Enecol Centro,"01/09/2026, 13:47:57",Oiti,844330,URBANO,5,70,Sim,50,300,0,-8.39639,-47.7722783,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260902084320960404486F1.jpg,Sim
V20260902084330117218575,Rota Itacajá,Enecol Centro,"01/09/2026, 14:11:20",Oiti,1251650,URBANO,4.5,50,Sim,300,300,0,-8.3937267,-47.77094,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260902084330117218575F1.jpg,Sim
V20260902084341640680459,Rota Itacajá,Enecol Centro,"01/09/2026, 14:15:20",Oiti,843890,URBANO,3.5,50,Sim,300,300,0,-8.3921863,-47.7701751,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260902084341640680459F1.jpg,Sim
V20260902084352543794903,Rota Itacajá,Enecol Centro,"01/09/2026, 14:16:42",Mogno,843891,URBANO,9,140,Sim,50,300,0,-8.3918522,-47.7700334,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260902084352543794903F1.jpg,Sim
V20260902084359407997623,Rota Itacajá,Enecol Centro,"01/09/2026, 14:21:51",Oiti,843541,URBANO,5,50,Sim,300,300,0,-8.3896381,-47.7690677,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260902084359407997623F1.jpg,Não
V20260902084403362109365,Rota Itacajá,Enecol Centro,"01/09/2026, 14:25:48",Oiti,137666,URBANO,4,55,Sim,200,300,0,-8.39113,-47.769625,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260902084403362109365F1.jpg,Não
V20260902084413200677931,Rota Itacajá,Enecol Centro,"01/09/2026, 14:26:30",Oiti,843893,URBANO,4,55,Sim,200,300,0,-8.39109,-47.7696033,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260902084413200677931F1.jpg,Não
V20260902084421490092331,Rota Itacajá,Enecol Centro,"01/09/2026, 14:27:14",Oiti,843893,URBANO,4.5,55,Sim,200,300,0,-8.3910167,-47.7696067,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260902084421490092331F1.jpg,Não
V20260902084433471515713,Rota Itacajá,Enecol Centro,"01/09/2026, 14:27:54",Oiti,843893,URBANO,4.5,60,Sim,200,300,0,-8.3909867,-47.7695667,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260902084433471515713F1.jpg,Não
V20260902084443952675488,Rota Itacajá,Enecol Centro,"01/09/2026, 14:28:37",Oiti,843893,URBANO,5,55,Sim,200,300,0,-8.3909767,-47.7694983,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260902084443952675488F1.jpg,Não
V20260902084451297387058,Rota Itacajá,Enecol Centro,"01/09/2026, 14:29:21",Outros,843893,URBANO,2,20,Sim,300,300,0,-8.3908667,-47.7695,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260902084451297387058F1.jpg,Não
V20260902084503773740198,Rota Itacajá,Enecol Centro,"01/09/2026, 14:30:01",Oiti,843893,URBANO,3,50,Sim,300,300,0,-8.39081,-47.7694867,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260902084503773740198F1.jpg,Não
