Ponto,Projeto,Equipe,Data/hora,Espécie,Poste,Área,Altura (m),DAP (cm),Acesso,Dist. BT (cm),Dist. MT (cm),Dist. AT (cm),Latitude,Longitude,Qtd fotos,Foto (link),Sincronizado
V20260922134348501516700,Rota Itaporã do Tocantins,Enecol Centro,"22/09/2026, 13:43:47",Outros,1097348,URBANO,3,60,Sim,300,300,0,-8.5797625,-48.6900022,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260922134348501516700F1.jpg,Não
V20260922134656763706265,Rota Itaporã do Tocantins,Enecol Centro,"22/09/2026, 13:46:55",Outros,308924,URBANO,6.5,85,Sim,300,300,0,-8.5774985,-48.6908182,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260922134656763706265F1.jpg,Não
V20260922134806832745988,Rota Itaporã do Tocantins,Enecol Centro,"22/09/2026, 13:48:05",Outros,308924,URBANO,6.5,95,Sim,300,300,0,-8.5774698,-48.6907839,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260922134806832745988F1.jpg,Não
V20260922135037718869190,Rota Itaporã do Tocantins,Enecol Centro,"22/09/2026, 13:50:36",Outros,861596,URBANO,6,55,Sim,300,300,0,-8.5763747,-48.6911681,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260922135037718869190F1.jpg,Não
V20260922135355329891619,Rota Itaporã do Tocantins,Enecol Centro,"22/09/2026, 13:53:54",Outros,861596,URBANO,6,80,Sim,100,,0,-8.5761469,-48.6911918,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260922135355329891619F1.jpg,Não
V20260922135454096644482,Rota Itaporã do Tocantins,Enecol Centro,"22/09/2026, 13:54:53",Outros,861596,URBANO,5.5,75,Sim,100,300,0,-8.5762398,-48.6911994,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260922135454096644482F1.jpg,Não
V20260922135619079876189,Rota Itaporã do Tocantins,Enecol Centro,"22/09/2026, 13:56:18",Outros,861595,URBANO,4.5,60,Sim,300,300,0,-8.5760052,-48.6912182,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260922135619079876189F1.jpg,Não
V20260922135930355456229,Rota Itaporã do Tocantins,Enecol Centro,"22/09/2026, 13:59:29",Outros,859052,URBANO,3.5,50,,300,300,0,-8.57506,-48.69174,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260922135930355456229F1.jpg,Não
V20260922140204664629331,Rota Itaporã do Tocantins,Enecol Centro,"22/09/2026, 14:02:03",Outros,127701,URBANO,4,65,Sim,300,300,0,-8.57553,-48.6919117,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260922140204664629331F1.jpg,Não
V20260922140345078029091,Rota Itaporã do Tocantins,Enecol Centro,"22/09/2026, 14:03:44",Outros,127702,URBANO,5,60,Sim,300,300,0,-8.5746033,-48.6920117,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260922140345078029091F1.jpg,Não
V20260922140705484052276,Rota Itaporã do Tocantins,Enecol Centro,"22/09/2026, 14:07:04",Outros,857509,URBANO,5.5,70,Sim,100,300,0,-8.5747567,-48.6943133,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260922140705484052276F1.jpg,Não
V20260922141001610877608,Rota Itaporã do Tocantins,Enecol Centro,"22/09/2026, 14:10:00",Outros,127704,URBANO,6.5,80,Sim,0,250,0,-8.5761433,-48.6962817,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260922141001610877608F1.jpg,Não
