Ponto,Projeto,Equipe,Data/hora,Espécie,Poste,Área,Altura (m),DAP (cm),Acesso,Dist. BT (cm),Dist. MT (cm),Dist. AT (cm),Latitude,Longitude,Qtd fotos,Foto (link),Sincronizado
V20260821134737352660943,Rota Pequizeiro,Enecol Centro,"21/08/2026, 13:47:36",Oiti,951426,URBANO,8,50,Sim,200,250,0,-8.6000083,-48.9333233,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260821134737352660943F1.jpg,Não
V20260821134838790783273,Rota Pequizeiro,Enecol Centro,"21/08/2026, 13:48:37",Oiti,951426,URBANO,8.5,50,Sim,200,250,0,-8.600125,-48.93335,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260821134838790783273F1.jpg,Não
V20260821134925009360449,Rota Pequizeiro,Enecol Centro,"21/08/2026, 13:49:23",Mogno,951426,URBANO,7,50,Sim,300,300,0,-8.600145,-48.93337,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260821134925009360449F1.jpg,Não
V20260821135007730714739,Rota Pequizeiro,Enecol Centro,"21/08/2026, 13:50:06",Oiti,951426,URBANO,5,45,Sim,300,300,0,-8.600175,-48.9333517,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260821135007730714739F1.jpg,Sim
V20260821135101337788557,Rota Pequizeiro,Enecol Centro,"21/08/2026, 13:51:00",Oiti,951426,URBANO,5,50,Sim,300,300,0,-8.60025,-48.9333817,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260821135101337788557F1.jpg,Não
V20260821135341683545024,Rota Pequizeiro,Enecol Centro,"21/08/2026, 13:53:40",Oiti,946819,URBANO,6,50,Sim,300,300,0,-8.59905,-48.9333217,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260821135341683545024F1.jpg,Não
V20260821135435713724782,Rota Pequizeiro,Enecol Centro,"21/08/2026, 13:54:34",Oiti,946819,URBANO,4.5,45,Sim,300,300,0,-8.5990667,-48.9333383,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260821135435713724782F1.jpg,Não
V20260821135526803604693,Rota Pequizeiro,Enecol Centro,"21/08/2026, 13:55:25",Outros,946819,URBANO,3.5,40,Sim,300,300,0,-8.5990483,-48.9333383,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260821135526803604693F1.jpg,Não
V20260821140015597679635,Rota Pequizeiro,Enecol Centro,"21/08/2026, 14:00:14",Oiti,948106,URBANO,3.5,40,Sim,300,300,0,-8.5965137,-48.9339141,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260821140015597679635F1.jpg,Não
V20260821140105262036190,Rota Pequizeiro,Enecol Centro,"21/08/2026, 14:01:04",Outros,948106,URBANO,3,30,Sim,300,300,0,-8.5965567,-48.9339,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260821140105262036190F1.jpg,Não
V20260821140155706897927,Rota Pequizeiro,Enecol Centro,"21/08/2026, 14:01:54",Outros,948106,URBANO,6,50,Sim,300,300,0,-8.5966137,-48.9339752,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260821140155706897927F1.jpg,Não
V20260821140323841471703,Rota Pequizeiro,Enecol Centro,"21/08/2026, 14:03:22",Mogno,948106,URBANO,10.5,130,Sim,50,50,0,-8.5966872,-48.9339996,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260821140323841471703F1.jpg,Não
V20260821140407793867940,Rota Pequizeiro,Enecol Centro,"21/08/2026, 14:04:06",Mogno,948106,URBANO,3,35,Sim,300,300,0,-8.5967955,-48.9339601,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260821140407793867940F1.jpg,Não
V20260821140456696679976,Rota Pequizeiro,Enecol Centro,"21/08/2026, 14:04:55",Outros,948106,URBANO,2.5,40,Sim,300,300,0,-8.5968298,-48.9339765,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260821140456696679976F1.jpg,Não
V20260821140552595729408,Rota Pequizeiro,Enecol Centro,"21/08/2026, 14:05:51",Coqueiro,948106,URBANO,5.5,35,Sim,300,300,0,-8.5968678,-48.9340307,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260821140552595729408F1.jpg,Não
V20260821140648045633154,Rota Pequizeiro,Enecol Centro,"21/08/2026, 14:06:47",Coqueiro,948106,URBANO,5.5,35,Sim,300,300,0,-8.5969721,-48.9339974,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260821140648045633154F1.jpg,Não
V20260821140738247746546,Rota Pequizeiro,Enecol Centro,"21/08/2026, 14:07:37",Outros,209806,URBANO,2,50,Sim,300,300,0,-8.5970418,-48.9340095,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260821140738247746546F1.jpg,Não
V20260821140849791381442,Rota Pequizeiro,Enecol Centro,"21/08/2026, 14:08:48",Mogno,209806,URBANO,9.5,65,Sim,100,150,0,-8.5972366,-48.9340534,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260821140849791381442F1.jpg,Não
V20260821142722813237513,Rota Pequizeiro,Enecol Centro,"21/08/2026, 14:27:21",Outros,944488,URBANO,9,70,Sim,50,150,0,-8.5969337,-48.9364246,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260821142722813237513F1.jpg,Não
V20260821142830238329173,Rota Pequizeiro,Enecol Centro,"21/08/2026, 14:28:29",Outros,950381,URBANO,10,65,Sim,250,300,0,-8.5969845,-48.9361972,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260821142830238329173F1.jpg,Não
V20260821142928589938986,Rota Pequizeiro,Enecol Centro,"21/08/2026, 14:29:27",Outros,950381,URBANO,10,55,Sim,250,300,0,-8.5970733,-48.93618,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260821142928589938986F1.jpg,Não
V20260821143101859258832,Rota Pequizeiro,Enecol Centro,"21/08/2026, 14:31:00",Outros,944488,URBANO,10,70,Sim,300,300,0,-8.59689,-48.936645,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260821143101859258832F1.jpg,Não
V20260821143200762735268,Rota Pequizeiro,Enecol Centro,"21/08/2026, 14:31:59",Outros,944488,URBANO,4,50,Sim,300,300,0,-8.59687,-48.9367567,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260821143200762735268F1.jpg,Não
V20260821143915259645428,Rota Pequizeiro,Enecol Centro,"21/08/2026, 14:39:14",Outros,947429,URBANO,10,50,Sim,100,50,0,-8.5937939,-48.935511,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260821143915259645428F1.jpg,Não
V20260821144000744809401,Rota Pequizeiro,Enecol Centro,"21/08/2026, 14:39:59",Outros,947429,URBANO,7,40,Sim,200,300,0,-8.5937916,-48.9355725,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260821144000744809401F1.jpg,Não
