Ponto,Projeto,Equipe,Data/hora,Espécie,Poste,Área,Altura (m),DAP (cm),Acesso,Dist. BT (cm),Dist. MT (cm),Dist. AT (cm),Latitude,Longitude,Qtd fotos,Foto (link),Sincronizado
V20260828150319259264412,Rota Presidente Kennedy,Enecol Centro,"28/08/2026, 15:03:18",Oiti,878410,URBANO,4.5,45,Sim,300,300,0,-8.5308733,-48.4982767,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260828150319259264412F1.jpg,Não
V20260828150417696270801,Rota Presidente Kennedy,Enecol Centro,"28/08/2026, 15:04:16",Outros,878410,URBANO,7,70,Sim,0,150,0,-8.530835,-48.4980767,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260828150417696270801F1.jpg,Não
V20260828150538052972254,Rota Presidente Kennedy,Enecol Centro,"28/08/2026, 15:05:37",Outros,878411,URBANO,2.5,35,Sim,300,300,0,-8.531,-48.4986333,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260828150538052972254F1.jpg,Não
V20260828150803038758223,Rota Presidente Kennedy,Enecol Centro,"28/08/2026, 15:08:01",Outros,98707,URBANO,13,90,Sim,50,0,0,-8.5313833,-48.5000267,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260828150803038758223F1.jpg,Não
V20260828151100470720516,Rota Presidente Kennedy,Enecol Centro,"28/08/2026, 15:10:59",Coqueiro,878072,URBANO,14,100,Sim,300,,0,-8.5316171,-48.5011354,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260828151100470720516F1.jpg,Não
V20260828151253036773837,Rota Presidente Kennedy,Enecol Centro,"28/08/2026, 15:12:51",Outros,878071,URBANO,14,90,Sim,300,100,0,-8.5315706,-48.5008366,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260828151253036773837F1.jpg,Não
V20260828151730257570797,Rota Presidente Kennedy,Enecol Centro,"28/08/2026, 15:17:29",Outros,878075,URBANO,10,140,Sim,200,300,0,-8.5319564,-48.5020733,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260828151730257570797F1.jpg,Não
V20260828151834261472889,Rota Presidente Kennedy,Enecol Centro,"28/08/2026, 15:18:33",Outros,878075,URBANO,10,100,Sim,0,50,0,-8.531945,-48.5022717,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260828151834261472889F1.jpg,Não
V20260828151949655912490,Rota Presidente Kennedy,Enecol Centro,"28/08/2026, 15:19:48",Mangueira,878082,URBANO,7,70,Sim,100,300,0,-8.532045,-48.502535,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260828151949655912490F1.jpg,Não
V20260828152230760973814,Rota Presidente Kennedy,Enecol Centro,"28/08/2026, 15:22:29",Oiti,32823406,URBANO,5,60,Sim,300,300,0,-8.5326417,-48.5029317,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260828152230760973814F1.jpg,Não
V20260828152320738184897,Rota Presidente Kennedy,Enecol Centro,"28/08/2026, 15:23:19",Oiti,32823406,URBANO,5,60,Sim,300,300,0,-8.532725,-48.5029683,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260828152320738184897F1.jpg,Não
V20260828152707762779048,Rota Presidente Kennedy,Enecol Centro,"28/08/2026, 15:27:06",Oiti,876244,URBANO,9,70,Sim,150,300,0,-8.5319137,-48.5030981,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260828152707762779048F1.jpg,Não
V20260828152754038968795,Rota Presidente Kennedy,Enecol Centro,"28/08/2026, 15:27:52",Oiti,876244,URBANO,6,70,Sim,300,300,0,-8.5319356,-48.5031335,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260828152754038968795F1.jpg,Não
V20260828152859029076592,Rota Presidente Kennedy,Enecol Centro,"28/08/2026, 15:28:57",Oiti,876244,URBANO,6,60,Sim,200,300,0,-8.5318825,-48.5031917,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260828152859029076592F1.jpg,Não
V20260828153149756140433,Rota Presidente Kennedy,Enecol Centro,"28/08/2026, 15:31:48",Mogno,876529,URBANO,6,110,Sim,100,300,0,-8.5314149,-48.5038879,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260828153149756140433F1.jpg,Não
V20260828153523940344576,Rota Presidente Kennedy,Enecol Centro,"28/08/2026, 15:35:22",Outros,54422156,URBANO,3.5,20,Sim,300,300,0,-8.5305869,-48.5053898,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260828153523940344576F1.jpg,Não
V20260828153614977567781,Rota Presidente Kennedy,Enecol Centro,"28/08/2026, 15:36:13",Outros,54422156,URBANO,5,50,Sim,300,300,0,-8.5306489,-48.5054789,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260828153614977567781F1.jpg,Não
V20260828154233164447074,Rota Presidente Kennedy,Enecol Centro,"28/08/2026, 15:42:32",Mangueira,875600,URBANO,6,40,Sim,200,300,0,-8.5287851,-48.5088926,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260828154233164447074F1.jpg,Não
V20260828154320887557592,Rota Presidente Kennedy,Enecol Centro,"28/08/2026, 15:43:19",Mogno,875600,URBANO,8,60,,0,100,0,-8.5287996,-48.5088036,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260828154320887557592F1.jpg,Não
V20260828154436712505108,Rota Presidente Kennedy,Enecol Centro,"28/08/2026, 15:44:35",Mangueira,,URBANO,5.5,50,Sim,300,300,0,-8.5289164,-48.5085645,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260828154436712505108F1.jpg,Não
V20260828154549694320970,Rota Presidente Kennedy,Enecol Centro,"28/08/2026, 15:45:48",Oiti,875604,URBANO,7,55,Sim,50,200,0,-8.5290662,-48.5082927,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260828154549694320970F1.jpg,Não
V20260828154634548483697,Rota Presidente Kennedy,Enecol Centro,"28/08/2026, 15:46:33",Oiti,875604,URBANO,8,60,Sim,0,150,0,-8.5291084,-48.5082553,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260828154634548483697F1.jpg,Não
