Ponto,Projeto,Equipe,Data/hora,Espécie,Poste,Área,Altura (m),DAP (cm),Acesso,Dist. BT (cm),Dist. MT (cm),Dist. AT (cm),Latitude,Longitude,Qtd fotos,Foto (link),Sincronizado
V20260902143923428690149,Rota Santa Maria do Tocantins,Enecol Centro,"02/09/2026, 14:39:22",Mangueira,951779,URBANO,13,90,Sim,150,50,0,-8.7756183,-47.75203,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260902143923428690149F1.jpg,Não
V20260902144049239601575,Rota Santa Maria do Tocantins,Enecol Centro,"02/09/2026, 14:40:48",Mangueira,951779,URBANO,14,130,Sim,300,250,0,-8.7755433,-47.751965,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260902144049239601575F1.jpg,Não
V20260902144148091508757,Rota Santa Maria do Tocantins,Enecol Centro,"02/09/2026, 14:41:47",Outros,951779,URBANO,13,100,Sim,300,50,0,-8.775525,-47.7519367,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260902144148091508757F1.jpg,Não
V20260902144332687032691,Rota Santa Maria do Tocantins,Enecol Centro,"02/09/2026, 14:43:31",Outros,42528095,URBANO,12.5,90,Sim,300,50,0,-8.7751644,-47.751593,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260902144332687032691F1.jpg,Não
V20260902144443067694087,Rota Santa Maria do Tocantins,Enecol Centro,"02/09/2026, 14:44:42",Mangueira,42528095,URBANO,10.5,115,Sim,100,100,0,-8.7749551,-47.75141,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260902144443067694087F1.jpg,Não
V20260902145307651636682,Rota Santa Maria do Tocantins,Enecol Centro,"02/09/2026, 14:53:06",Oiti,962459,URBANO,5,60,Sim,300,300,0,-8.7773945,-47.7459396,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260902145307651636682F1.jpg,Não
V20260902145348030897918,Rota Santa Maria do Tocantins,Enecol Centro,"02/09/2026, 14:53:47",Oiti,1105766,URBANO,5,55,Sim,300,300,0,-8.7773813,-47.7460914,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260902145348030897918F1.jpg,Não
V20260902145442355333725,Rota Santa Maria do Tocantins,Enecol Centro,"02/09/2026, 14:54:41",Oiti,1105766,URBANO,5,60,Sim,300,300,0,-8.777321,-47.7463278,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260902145442355333725F1.jpg,Não
V20260902145529987816507,Rota Santa Maria do Tocantins,Enecol Centro,"02/09/2026, 14:55:29",Oiti,123547,URBANO,5,65,Sim,300,300,0,-8.7773263,-47.7464859,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260902145529987816507F1.jpg,Não
V20260902145615819674264,Rota Santa Maria do Tocantins,Enecol Centro,"02/09/2026, 14:56:14",Oiti,123547,URBANO,5.5,60,Sim,300,300,0,-8.7772987,-47.7465479,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260902145615819674264F1.jpg,Não
V20260902145705338237232,Rota Santa Maria do Tocantins,Enecol Centro,"02/09/2026, 14:57:04",Oiti,123547,URBANO,5.5,60,Sim,50,300,0,-8.7772799,-47.7465995,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260902145705338237232F1.jpg,Não
V20260902145758726583599,Rota Santa Maria do Tocantins,Enecol Centro,"02/09/2026, 14:57:57",Oiti,938160,URBANO,5.5,65,Sim,100,300,0,-8.7772471,-47.7468066,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260902145758726583599F1.jpg,Não
V20260902145923429091266,Rota Santa Maria do Tocantins,Enecol Centro,"02/09/2026, 14:59:22",Oiti,938156,URBANO,5.5,65,Sim,100,300,0,-8.7772364,-47.7469605,4,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260902145923429091266F1.jpg,Não
V20260902150214055162924,Rota Santa Maria do Tocantins,Enecol Centro,"02/09/2026, 15:02:13",Cajueiro,953132,URBANO,8,60,Sim,150,300,0,-8.7782946,-47.7471481,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260902150214055162924F1.jpg,Não
V20260902150445543159893,Rota Santa Maria do Tocantins,Enecol Centro,"02/09/2026, 15:04:44",Oiti,953134,URBANO,6,60,Sim,250,300,0,-8.7767232,-47.7468645,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260902150445543159893F1.jpg,Não
V20260902150553960554528,Rota Santa Maria do Tocantins,Enecol Centro,"02/09/2026, 15:05:53",Outros,953134,URBANO,4.5,25,Sim,300,300,0,-8.7764641,-47.746823,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260902150553960554528F1.jpg,Não
V20260902150652406655683,Rota Santa Maria do Tocantins,Enecol Centro,"02/09/2026, 15:06:51",Outros,953135,URBANO,5.5,40,Sim,250,300,0,-8.7764237,-47.7468393,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260902150652406655683F1.jpg,Não
V20260902150814677325548,Rota Santa Maria do Tocantins,Enecol Centro,"02/09/2026, 15:08:13",Outros,123550,URBANO,5.5,65,Sim,100,300,0,-8.776015,-47.74672,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260902150814677325548F1.jpg,Não
V20260902151304045483699,Rota Santa Maria do Tocantins,Enecol Centro,"02/09/2026, 15:13:03",Mogno,939446,URBANO,10,60,Sim,100,100,0,-8.7764124,-47.7484843,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260902151304045483699F1.jpg,Não
V20260902151417850023142,Rota Santa Maria do Tocantins,Enecol Centro,"02/09/2026, 15:14:16",Outros,937777,URBANO,4,45,Sim,300,300,0,-8.7756951,-47.7482754,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260902151417850023142F1.jpg,Não
V20260902151633820933957,Rota Santa Maria do Tocantins,Enecol Centro,"02/09/2026, 15:16:32",Oiti,937778,URBANO,7,50,Sim,100,300,0,-8.77526,-47.7482033,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260902151633820933957F1.jpg,Não
V20260902152221207419328,Rota Santa Maria do Tocantins,Enecol Centro,"02/09/2026, 15:22:20",Oiti,938123,URBANO,6,65,Sim,50,250,0,-8.7766355,-47.7495418,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260902152221207419328F1.jpg,Não
V20260902152309602950161,Rota Santa Maria do Tocantins,Enecol Centro,"02/09/2026, 15:23:08",Oiti,938123,URBANO,5.5,65,Sim,100,300,0,-8.7766531,-47.7496419,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260902152309602950161F1.jpg,Não
V20260902152413775669862,Rota Santa Maria do Tocantins,Enecol Centro,"02/09/2026, 15:24:12",Oiti,938123,URBANO,5,60,Sim,50,300,0,-8.7766017,-47.7497146,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260902152413775669862F1.jpg,Não
V20260902152521530820703,Rota Santa Maria do Tocantins,Enecol Centro,"02/09/2026, 15:25:20",Oiti,123545,URBANO,5.5,70,Sim,300,300,0,-8.7765567,-47.7500321,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260902152521530820703F1.jpg,Não
V20260902152618603297667,Rota Santa Maria do Tocantins,Enecol Centro,"02/09/2026, 15:26:17",Oiti,123545,URBANO,5.5,55,Sim,100,300,0,-8.7765312,-47.7501234,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260902152618603297667F1.jpg,Não
V20260902152902728097933,Rota Santa Maria do Tocantins,Enecol Centro,"02/09/2026, 15:29:01",Oiti,952796,URBANO,6,65,Sim,50,300,0,-8.7758771,-47.7504169,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260902152902728097933F1.jpg,Não
