Rota (id),Projeto,Equipe,Situação,Concluída em,Concluída por
1782688959998,Porto Nacional,Enecol Centro,Concluída,2026-07-13T16:14:30.000Z,Admin
1783940358942,SE Paraíso I,Enecol Centro,Concluída,2026-07-23T20:29:52.000Z,Admin
1784742085633,Rota Paraíso SE 2,Enecol Centro,Concluída,2026-07-23T20:29:52.000Z,Admin
1784842859143,Rota Guaraí,Enecol Centro,Concluída,2026-07-30T19:48:12.000Z,Admin
1785440892497,Rota SE Colinas,Enecol Centro,Concluída,2026-08-13T01:22:44.000Z,Admin
1786561104228,Rota Colméia,Enecol Centro,Concluída,2026-08-17T23:02:12.000Z,Admin
1787008208468,Rota Pedro Afonso,Enecol Centro,Concluída,2026-08-19T22:48:33.000Z,Admin
1787180016462,Rota Bom Jesus do Tocantins,Enecol Centro,Concluída,2026-08-20T20:40:02.000Z,Admin
1787222155756,Rota Pequizeiro,Enecol Centro,Concluída,2026-08-21T22:43:26.000Z,Admin
1787222155757,Rota Goianorte,Enecol Centro,Concluída,2026-08-28T03:43:20.000Z,Admin
1787222155758,Rota Couto Magalhães,Enecol Centro,Concluída,2026-09-01T10:58:29.000Z,Admin
1787919191641,Rota Presidente Kennedy,Enecol Centro,Concluída,2026-09-01T10:58:29.000Z,Admin
1787919191639,Rota Itacajá,Enecol Centro,Concluída,2026-09-02T11:28:11.000Z,Admin
1787919191640,Rota Santa Maria do Tocantins,Enecol Centro,Em andamento,,
1788400000000,Rota Rio dos Bois,Enecol Centro,Não iniciada,,
1788400000001,Rota Miranorte,Enecol Centro,Não iniciada,,
1788400000002,Rota Miracema do Tocantins,Enecol Centro,Não iniciada,,
1788400000003,Rota Dois Irmãos do Tocantins,Enecol Centro,Não iniciada,,
